Uniprote_IDs,uT01,uT02,uT03,uT04,uT05,uT06,uT07,uT08,uT09,uT10,FA01,FA02,FA03,FA04,FA05,FA06,FA07,FA08,FA09,FA10
P10398,51.88480377,60.77767181,65.90398407,58.4296608,59.92876053,59.56824493,42.29709244,60.71852875,67.940979,99.15393829,48.3757782,57.79867172,60.54760361,59.18016052,37.612854,48.64273071,56.80594635,100.9111786,54.26036453,68.95121002
P10412,9734.504883,7532.812012,8423.054688,9509.884766,9455.107422,8316.370117,11207.03906,8479.77832,10347.1416,8119.987305,7918.500977,10491.43164,8796.113281,6911.758789,9341.953125,10516.90918,9036.402344,8213.667969,8837.227539,23906.37109
P10515,344.4345398,310.5397339,334.5316162,353.3008728,344.5849915,359.3533325,353.1419067,366.8466797,378.6834717,380.243988,338.0123596,342.2303162,334.8299255,364.9429321,369.2615051,360.3432922,393.7104492,391.3387146,388.8626404,384.2198792
P10586,105.5494308,111.5930176,126.0348587,131.1270447,85.76682281,121.5784302,125.2561569,113.067421,128.3929596,112.336731,49.90482712,29.18531609,66.60224915,104.0374603,110.6320114,123.45578,Filtered,Filtered,63.35229874,77.96350098
P10599,2584.876709,2428.067383,2394.640381,2585.483643,2657.742188,2527.26416,2615.676514,2935.388428,3056.247559,3453.998779,2815.653564,2836.953613,2430.874023,2653.115723,2742.550293,2737.341553,3307.183594,3109.889648,3174.596924,3184.401367
P10606,603.3097534,541.7807617,567.1877441,552.6782227,548.3036499,501.7954102,539.5800781,491.5266724,559.6489868,493.7939148,572.5256958,545.9606323,538.6986694,577.9838867,568.3647461,549.3528442,509.4904785,601.3461914,497.7480164,508.6892395
P10619,145.1930695,121.9994507,133.6428528,128.3488464,136.0505066,126.6235809,150.5348053,152.5045166,132.2842255,164.3567352,129.9042664,127.8233337,115.6395187,128.9174805,138.2887268,129.2311096,128.4695587,152.0375366,111.6041718,150.8416443
P10620,260.590271,251.3154755,256.8310242,252.5455933,265.852417,257.0209656,263.6541138,270.5127258,292.7522278,318.948761,303.5733643,276.2832031,273.3517151,256.23703,257.447052,305.2428589,300.6353149,291.6741333,253.7044983,269.7633667
P10644,224.1867676,264.0177917,248.6754913,222.1484985,244.1411743,235.720108,248.0332947,199.6362457,235.4206085,192.6984711,192.0385437,208.8635101,204.5314789,214.8972168,202.699234,211.6897736,191.151474,157.9703979,187.1638184,187.5550385
P10768,149.5277252,145.6034698,141.8425903,149.396759,138.7357788,132.6800079,140.6407928,145.3431396,140.0459595,144.3829498,144.3137817,141.7409363,140.3795471,147.7679291,136.6480408,141.8998413,143.6287079,128.152832,144.3209686,156.9717255
P10809,4705.452148,4621.939941,4756.443359,5022.597168,4811.07959,4847.540527,4754.501465,4841.26709,5158.895508,4957.445313,4775.496582,4638.337891,4783.146973,4302.340332,4967.457031,5018.779785,4568.440918,5113.487793,5139.912598,5190.34375
P10909,72.99911499,83.91416168,69.73180389,82.57743073,74.00566864,74.18167114,75.88282013,82.17843628,79.50957489,103.1654434,73.04508972,73.30018616,81.1277771,79.74326324,87.82569885,81.41742706,85.14497375,91.38916016,94.68266296,99.3299942
P11021,4596.338379,4629.879883,4469.79248,4592.023438,4139.053711,4184.006348,4143.615723,4029.688721,4458.340332,3736.669434,4453.081055,4257.866211,4433.541504,4392.702148,4283.347168,4232.11377,3949.313965,3720.548828,3879.664551,4233.632324
P11047,69.92982483,71.78057098,77.71855164,67.3239975,73.25395203,76.43681335,89.27644348,71.67393494,98.25759888,89.19540405,37.57553101,62.17305374,51.80376053,63.78596878,52.0537262,59.90662384,57.16772079,103.6128235,60.97529221,80.54551697
P11117,69.59925079,70.51130676,72.30893707,62.97377396,58.30816269,74.20323181,67.54808044,95.63283539,65.47160339,83.6078949,67.53083801,73.36260986,74.90455627,72.18618774,79.97062683,69.42857361,82.9855423,77.16383362,82.69734192,92.57010651
P11142,8627.056641,9176.148438,8992.327148,8427.074219,9194.847656,8821.987305,8008.746094,7990.445801,7280.038086,8300.354492,9716.366211,9177.780273,9301.451172,9317.298828,9652.162109,8627.617188,8830.743164,8162.348633,7497.450684,8056.405273
P11166,805.4688721,709.1149292,803.5510864,775.5448608,813.0167236,840.581543,787.0668945,853.9364624,949.4630737,1062.49231,700.1563721,737.7666016,727.708374,742.321167,740.4453125,769.053772,854.2981567,930.2156982,893.7052002,932.6804199
P11169,184.2643738,201.1112518,181.2427063,194.0504913,191.9855652,206.704422,171.4662323,189.4426117,190.369278,237.0333557,188.2769318,195.749939,198.1165924,196.3296204,208.0681305,184.8825684,231.9692688,224.3420105,249.9633331,209.9664001
P11171,123.5749054,114.5830078,108.5122528,117.6352005,156.6014862,126.8016663,139.0255432,97.73506927,125.7931824,153.4563293,113.1276932,129.6089783,112.5508423,172.4714508,118.9341812,121.7712479,286.679657,354.0635986,144.3734894,163.6825256
P11172,351.8248291,349.3255005,355.8551941,349.5837708,347.4098511,319.7271729,365.09375,336.7799377,358.9405212,347.1217346,358.3774719,353.6853333,362.7922363,337.5317383,337.6024475,362.7999268,338.212616,361.2443237,350.5054321,338.8871765
P11177,487.4442444,461.2333069,496.7341003,509.6001587,526.8117065,560.2299194,508.7374268,512.4520874,536.8900757,552.5524902,490.0637207,484.8578186,512.6002808,572.5354614,517.7232056,528.2138672,561.9016113,589.204895,563.854187,577.4331665
