Samples,Groups
Phos_Cyc_1,Cyc
Phos_Cyc_2,Cyc
Phos_Cyc_3,Cyc
Phos_Cyc_4,Cyc
Phos_Cyc_5,Cyc
Phos_Cyc_6,Cyc
Phos_Cyc_7,Cyc
Phos_Cyc_8,Cyc
Phos_Cyc_9,Cyc
Phos_Cyc_10,Cyc
Phos_Noco_1,Noco
Phos_Noco_2,Noco
Phos_Noco_3,Noco
Phos_Noco_4,Noco
Phos_Noco_5,Noco
Phos_Noco_6,Noco
Phos_Noco_7,Noco
Phos_Noco_8,Noco
Phos_Noco_9,Noco
Phos_Noco_10,Noco
